Product,Original Price,Selling Price,Units Sold,Tag,revenue,discount_percent
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,78.4,39.46,7,Free shipping,276.22,49.67
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,48.82,21.37,1,Free shipping,21.37,56.23
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table",1294.04,123.4,53,Free shipping,6540.200000000001,90.46
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",,198.31,1,Free shipping,198.31,0.0
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set",1474.17,734.58,5,Free shipping,3672.9,50.17
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,,43.96,3,No tag,131.88,0.0
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",,244.17,1,Free shipping,244.17,0.0
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",,60.28,4,Free shipping,241.12,0.0
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,671.47,331.24,39,Free shipping,12918.36,50.67
"4-Piece Outdoor Patio Furniture Set,Wicker Rattan Sectional Sofa Couch with Glass Coffee Table|Black Easy Cleaning and Stronger",,321.05,1,Free shipping,321.05,0.0
"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",,497.44,1,Free shipping,497.44,0.0
Modern Small Bedside Table with Drawer Lock Nordic Minimalist Bedside Cabinet Storage Cabinets Nightstands for Bedroom Furnitur,98.79,49.39,1,Free shipping,49.39,50.01
"5 Piece Patio Furniture Set, Outdoor Dining Table Set with L-Shaped Sectional Sofa, 2 Ottomans, Outside Conversation",,225.91,1,Free shipping,225.91,0.0
Mid Lounge Replica Solid Wood Three-Legged Shell Chair Ash Plywood Black Faux Leather Living Room Furniture Modern Leisure Chair,,179.99,2,Free shipping,359.98,0.0
Folding Desk Small Writing Desk Dressing Table Adjustable Height Space Saving Office Furniture Mobile Bookshelf,86.61,48.56,3,Free shipping,145.68,43.93
Home Furniture Shoe-shelf Headboards Shoe Cabinet Hallway Shoerack Living Room Cabinets Shoes Organizer External Storage Wheel,15.71,9.71,110,Free shipping,1068.1,38.19
Makeup Vanity Organizer Makeup Vanity Desk With Mirror and Lights Dressers for Bedroom Furniture 5 Drawers & Storage Bag Dresser,,172.36,5,Free shipping,861.8000000000001,0.0
"3 Pieces Patio Furniture PE Rattan Wicker Chair Conversation Set, 26.6x12.1x19.3 inches, Assemble Easily, Sturdy&Durable",,86.8,18,Free shipping,1562.4,0.0
Simple Wardrobe Portable Large Capacity Assembly Storage Closet Bedroom Furniture Durable and Sturdy Clothes Dustproof Wardrobe,82.27,40.13,1,Free shipping,40.13,51.22
"Wisteria Lane Outdoor Patio Furniture Set, 7-Piece Outdoor Dining Sofa Set with Dining Table and Chairs with Footstool",,445.4,1,Free shipping,445.4,0.0
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",,270.59,1,Free shipping,270.59,0.0
5 Pieces Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Sofas with Cushion and Glass Table,,123.57,1,Free shipping,123.57,0.0
"3 Pieces Rocking Wicker Bistro Set, Patio Outdoor Furniture Conversation Sets with Porch Chairs and Glass Coffee Table, Beige",251.56,87.08,11,Free shipping,957.88,65.38
Outdoor Furniture Sets Sectional PE Rattan Outdoor Furniture Patio Conversation Set with Cushions for Balcony Lawn and Garden,736.43,435.86,5,Free shipping,2179.3,40.81
"Patio Furniture Outdoor Set, Terrace Sofa Set, All-weather PE Rattan with Padded Cushions, Garden Furniture Sets",665.74,393.44,16,Free shipping,6295.04,40.9
"7 Pieces Patio Furniture Set, Outdoor Sectional Sofa Conversation Set, All Weather Wicker Rattan Couch Dining Table & Chair",,432.98,1,Free shipping,432.98,0.0
"6 Piece Patio Furniture Set, Outdoor Sectional Conversation Rattan Sofa Set with Ottoman and Outdoor Storage Table",,335.98,6,Free shipping,2015.88,0.0
Flamaker Patio Chairs 3 Piece Acacia Wood Patio Furniture with Coffee Table & Cushions Outdoor Conversation Set Balcony Chairs,,96.15,7,Free shipping,673.0500000000001,0.0
"Shintenchi 5 Pieces Outdoor Patio Sectional Sofa Couch, Silver Gray PE Wicker Furniture Conversation Sets with Washable Cushions",407.85,279.49,3,Free shipping,838.47,31.47
Nightstands Modern Single Drawer Bedside Table Walnut Wood Bedroom Furniture Bedside Table,,86.77,1,Free shipping,86.77,0.0
Makeup Table With 5 Drawers & Shelves Vanity Table Set Large Vanity Desk With Mirror and Lights White and Gold Bedroom Furniture,313.69,175.94,1,Free shipping,175.94,43.91
Side Table for Living Room Bed Room Bedside Tables Modern Nightstand With 2 Drawers Furniture Silver Bedroom Home,,122.3,1,Free shipping,122.3,0.0
"Convertible Sofa Bed, 3-in-1 Multi-Functional Velvet Sleeper Couch Pull-Out Bed Hidden Side Table for Living Room, Small Space",,266.5,2,Free shipping,533.0,0.0
Dressers for Bedroom Furniture Thickened Frame Dresser Vanity Table for Makeup Furnitures Hallway Kids Room Make Up Table Toilet,72.43,31.71,60,Free shipping,1902.6,56.22
Modern Faux Leather Sofa Bed Convertible Folding Futon With Armrest Home Recliner Home Furniture for Living Living Room Sofas,,105.3,4,Free shipping,421.2,0.0
Length of Values Black Gaming Desk Table Office Furniture Computer Offices L Shaped Desk for Compuradora Desktops Furnitures,,48.43,6,Free shipping,290.58,0.0
"Living Room Sofa Set , L Shape Modular Storage Ottoman & Chaise, Comfy Corner Sofa Cup Holder Living Room Furniture Couch Sets",983.42,584.05,1,Free shipping,584.05,40.61
"Nightstand,Bedside Tables with Fabric Storage Drawer and Open Wood Shelf,Bedside Furniture,Mesa de Noche Drawers,",,21.22,3,Free shipping,63.66,0.0
"GTPLAYER Chair Computer Gaming Chair (Leather, Ivory)， office furniture gaming chair",,129.68,8,Free shipping,1037.44,0.0
